商品ID,商品名,卸業者,分類,主な原材料または品種,規格,グラムもしくはリットルあたりの単価,数量,単価(税別),金額(税別),日付,備考
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,759.7g,1.19,1.0,904,904,2025-10-30,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-20,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-22,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-23,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,790,790,2025-10-17,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,891,2025-10-15,軽減税率8%対象・割引10%適用
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-14,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-08,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-06,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-01,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-02,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-07,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-09,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-16,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-21,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-24,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-27,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-28,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-30,軽減税率8%対象
NH005,真鯛,肉のハナマサ,魚介類,鯛,,,1.0,990,990,2025-10-31,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,161.5g,3.48,1.0,562,562,2025-10-20,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,144.3g,3.48,1.0,502,502,2025-10-22,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,147.7g,3.48,1.0,514,463,2025-10-15,軽減税率8%対象・割引10%適用
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,156.9g,3.48,1.0,546,546,2025-10-14,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,111g,3.48,1.0,386,386,2025-10-08,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,109.8g,3.48,1.0,382,382,2025-10-02,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,159.2g,3.48,1.0,554,554,2025-10-24,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,140.8g,3.48,1.0,490,490,2025-10-27,軽減税率8%対象
NH006,ボイルつぶ貝,肉のハナマサ,魚介類,つぶ貝,115.8g,3.48,1.0,403,403,2025-10-29,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,891,891,2025-10-20,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,885,885,2025-10-22,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,625,625,2025-10-17,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,717,645,2025-10-15,軽減税率8%対象・割引10%適用
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,875,875,2025-10-14,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,618,618,2025-10-08,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,740,740,2025-10-06,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,532,532,2025-10-02,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,598,598,2025-10-07,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,763,763,2025-10-09,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,786,786,2025-10-24,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,605,605,2025-10-27,軽減税率8%対象
NH007,煮だこ（生食用）,肉のハナマサ,魚介類,たこ,,,1.0,611,611,2025-10-30,軽減税率8%対象
NH008,スモークサーモン,肉のハナマサ,加工食品,サーモン,,,1.0,499,499,2025-10-22,軽減税率8%対象
NH008,スモークサーモン,肉のハナマサ,加工食品,サーモン,,,1.0,499,499,2025-10-08,軽減税率8%対象
NH009,生中華麺（太麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-22,軽減税率8%対象
NH009,生中華麺（太麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-17,軽減税率8%対象
NH009,生中華麺（太麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-14,軽減税率8%対象
NH009,生中華麺（太麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-02,軽減税率8%対象
NH009,生中華麺（太麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-07,軽減税率8%対象
NH009,生中華麺（太麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-09,軽減税率8%対象
NH009,生中華麺（太麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-28,軽減税率8%対象
NH010,セミドライチェリ,肉のハナマサ,加工食品,トマト,,,1.0,980,980,2025-10-22,軽減税率8%対象
NH011,冷凍塩ゆで枝豆,肉のハナマサ,冷凍食品,枝豆,500g,0.54,1.0,268,268,2025-10-22,軽減税率8%対象
NH011,冷凍塩ゆで枝豆,肉のハナマサ,冷凍食品,枝豆,500g,0.54,1.0,268,268,2025-10-15,軽減税率8%対象
NH011,冷凍塩ゆで枝豆,肉のハナマサ,冷凍食品,枝豆,500g,0.54,1.0,268,268,2025-10-14,軽減税率8%対象
NH011,冷凍塩ゆで枝豆,肉のハナマサ,冷凍食品,枝豆,500g,0.54,1.0,268,268,2025-10-21,軽減税率8%対象
NH011,冷凍塩ゆで枝豆,肉のハナマサ,冷凍食品,枝豆,500g,0.54,1.0,268,268,2025-10-24,軽減税率8%対象
NH011,冷凍塩ゆで枝豆,肉のハナマサ,冷凍食品,枝豆,500g,0.54,1.0,268,268,2025-10-30,軽減税率8%対象
NH011,冷凍塩ゆで枝豆,肉のハナマサ,冷凍食品,枝豆,500g,0.54,1.0,268,268,2025-10-31,軽減税率8%対象
NH012,スプレーホイップ,肉のハナマサ,加工食品,乳製品,,,1.0,498,498,2025-10-22,軽減税率8%対象
NH013,ゴルゴンゾーラ,肉のハナマサ,乳製品,牛乳,,,1.0,1390,1390,2025-10-22,軽減税率8%対象
NH014,料理酒清酒味,肉のハナマサ,調味料,米,1000ml,0.25,1.0,248,248,2025-10-22,軽減税率8%対象
NH014,料理酒清酒味,肉のハナマサ,調味料,米,1000ml,0.25,1.0,248,248,2025-10-02,軽減税率8%対象
NH015,国内産カットわかめ,肉のハナマサ,加工食品,わかめ,,,1.0,368,368,2025-10-22,軽減税率8%対象
NH016,ブラックオリーブ,肉のハナマサ,加工食品,オリーブ,350g,0.71,2.0,248,496,2025-10-22,軽減税率8%対象
NH016,ブラックオリーブ,肉のハナマサ,加工食品,オリーブ,350g,0.71,2.0,248,496,2025-10-09,軽減税率8%対象
NH016,ブラックオリーブ,肉のハナマサ,加工食品,オリーブ,350g,0.71,2.0,248,496,2025-10-03,軽減税率8%対象
NH017,北海道バター,肉のハナマサ,乳製品,牛乳,450g,2.66,1.0,1198,1198,2025-10-22,軽減税率8%対象
NH018,ピーマン（大袋）,肉のハナマサ,生鮮食品,ピーマン,,,1.0,480,480,2025-10-23,軽減税率8%対象
NH018,ピーマン（大袋）,肉のハナマサ,生鮮食品,ピーマン,,,1.0,350,350,2025-10-15,軽減税率8%対象
NH018,ピーマン（大袋）,肉のハナマサ,生鮮食品,ピーマン,,,1.0,480,480,2025-10-07,軽減税率8%対象
NH018,ピーマン（大袋）,肉のハナマサ,生鮮食品,ピーマン,,,1.0,480,480,2025-10-27,軽減税率8%対象
NH019,こまつな 茨城,肉のハナマサ,生鮮食品,こまつな,,,1.0,150,150,2025-10-23,軽減税率8%対象
NH020,豚挽肉（解凍）,肉のハナマサ,肉類,豚肉,,,1.0,810,810,2025-10-23,軽減税率8%対象
NH020,豚挽肉（解凍）,肉のハナマサ,肉類,豚肉,,,1.0,791,791,2025-10-15,軽減税率8%対象
NH020,豚挽肉（解凍）,肉のハナマサ,肉類,豚肉,,,1.0,784,784,2025-10-06,軽減税率8%対象
NH021,有頭赤えび,肉のハナマサ,生鮮食品,赤えび,,,2.0,498,996,2025-10-23,軽減税率8%対象
NH022,静岡ザク切り本わさび,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-20,軽減税率8%対象
NH022,静岡ザク切り本わさび,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-23,軽減税率8%対象
NH022,静岡ザク切り本わさび,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-14,軽減税率8%対象
NH022,静岡ザク切り本わさび,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-08,軽減税率8%対象
NH022,静岡ザク切り本わさび,肉のハナマサ,調味料,わさび,,,1.0,280,280,2025-10-31,軽減税率8%対象
NH023,プロ仕様〆さば,肉のハナマサ,加工食品,さば,,,1.0,499,499,2025-10-20,軽減税率8%対象
NH023,プロ仕様〆さば,肉のハナマサ,加工食品,さば,,,1.0,499,499,2025-10-23,軽減税率8%対象
NH023,プロ仕様〆さば,肉のハナマサ,加工食品,さば,,,1.0,499,499,2025-10-08,軽減税率8%対象
NH023,プロ仕様〆さば,肉のハナマサ,加工食品,さば,,,1.0,499,499,2025-10-06,軽減税率8%対象
NH023,プロ仕様〆さば,肉のハナマサ,加工食品,さば,,,1.0,499,499,2025-10-02,軽減税率8%対象
NH023,プロ仕様〆さば,肉のハナマサ,加工食品,さば,,,1.0,499,499,2025-10-29,軽減税率8%対象
NH023,プロ仕様〆さば,肉のハナマサ,加工食品,さば,,,1.0,499,499,2025-10-31,軽減税率8%対象
NH024,ペチュキムチ,肉のハナマサ,漬物,白菜,250g,1.52,1.0,380,380,2025-10-23,軽減税率8%対象
NH024,ペチュキムチ,肉のハナマサ,漬物,白菜,250g,1.52,1.0,380,380,2025-10-28,軽減税率8%対象
NH025,みどり無調整豆乳,肉のハナマサ,飲料,大豆,1000ml,0.178,1.0,178,178,2025-10-23,軽減税率8%対象
NH025,みどり無調整豆乳,肉のハナマサ,飲料,大豆,1000ml,0.178,1.0,178,178,2025-10-02,軽減税率8%対象
NH025,みどり無調整豆乳,肉のハナマサ,飲料,大豆,1000ml,0.178,1.0,178,178,2025-10-07,軽減税率8%対象
NH026,たまご わかばち,肉のハナマサ,生鮮食品,鶏卵,,,1.0,198,198,2025-10-23,軽減税率8%対象
NH026,たまご わかばち,肉のハナマサ,卵,鶏卵,,,1.0,218,218,2025-10-09,軽減税率8%対象
NH027,セレクト 花椒,肉のハナマサ,調味料,花椒,30g,36.0,1.0,1080,1080,2025-10-23,軽減税率8%対象
NH027,セレクト 花椒,肉のハナマサ,調味料,花椒,30g,36.0,1.0,1080,1080,2025-10-08,軽減税率8%対象
NH028,ラー油,肉のハナマサ,調味料,ごま油,450g,146.0,1.0,658,658,2025-10-23,軽減税率8%対象
NH028,ラー油,肉のハナマサ,調味料,ラー油,,,1.0,328,328,2025-10-08,軽減税率8%対象
NH029,国産さとうきび糖,肉のハナマサ,調味料,さとうきび,1000g,0.428,1.0,428,428,2025-10-23,軽減税率8%対象
NH030,四川豆板醤,肉のハナマサ,調味料,唐辛子,225g,2.21,1.0,498,498,2025-10-23,軽減税率8%対象
NH031,テンメンジャン,肉のハナマサ,調味料,小麦,220g,2.17,1.0,478,478,2025-10-23,軽減税率8%対象
NH032,本醸造しょうゆ,肉のハナマサ,調味料,大豆,1000ml,0.198,1.0,198,198,2025-10-23,軽減税率8%対象
NH032,本醸造しょうゆ,肉のハナマサ,調味料,大豆,1000ml,0.198,1.0,198,198,2025-10-07,軽減税率8%対象
NH033,熟トマト,肉のハナマサ,加工食品,トマト,,,1.0,168,168,2025-10-23,軽減税率8%対象
NH033,熟トマト,肉のハナマサ,加工食品,トマト,,,1.0,158,158,2025-10-10,軽減税率8%対象
NH033,熟トマト,肉のハナマサ,加工食品,トマト,,,1.0,168,168,2025-10-31,軽減税率8%対象
NH034,豚バラスライス,肉のハナマサ,精肉,豚肉,563.8g,1.49,1.0,840,840,2025-10-20,軽減税率8%対象
NH035,国産若鶏ムネ肉,肉のハナマサ,精肉,鶏肉,1278.5g,0.79,1.0,1010,615,2025-10-20,軽減税率8%対象
NH035,国産若鶏ムネ肉,肉のハナマサ,肉類,鶏肉,844.3g,0.79,1.0,667,667,2025-10-06,軽減税率8%対象
NH035,国産若鶏ムネ肉,肉のハナマサ,肉類,鶏肉,665.8g,0.79,1.0,526,526,2025-10-28,軽減税率8%対象
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,690,690,2025-10-20,軽減税率8%対象
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,490,441,2025-10-15,軽減税率8%対象・割引10%適用
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,490,490,2025-10-14,軽減税率8%対象
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,990,990,2025-10-06,軽減税率8%対象
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,590,590,2025-10-01,軽減税率8%対象
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,490,490,2025-10-16,軽減税率8%対象
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,690,690,2025-10-21,軽減税率8%対象
NH036,天然ぶり,肉のハナマサ,魚介類,ぶり,,,1.0,490,490,2025-10-31,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,1.0,599,599,2025-10-20,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,599,1198,2025-10-15,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,,599,599,2025-10-14,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,599,1198,2025-10-06,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,599,1198,2025-10-01,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,550,1100,2025-10-09,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,1.0,550,550,2025-10-03,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,599,1198,2025-10-21,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,498,996,2025-10-28,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,498,996,2025-10-30,軽減税率8%対象
NH037,有頭赤えび,肉のハナマサ,魚介類,えび,,,2.0,699,1398,2025-10-31,軽減税率8%対象
NH038,殻付あさり,肉のハナマサ,魚介類,あさり,500g,0.6,1.0,298,298,2025-10-20,軽減税率8%対象
NH038,殻付あさり,肉のハナマサ,魚介類,あさり,500g,0.6,1.0,298,298,2025-10-16,軽減税率8%対象
NH038,殻付あさり,肉のハナマサ,魚介類,あさり,500g,0.6,1.0,298,298,2025-10-29,軽減税率8%対象
NH039,明太子,肉のハナマサ,魚介類,たらこ,,,1.0,446,446,2025-10-20,軽減税率8%対象
NH039,明太子,肉のハナマサ,魚介類,たらこ,,,1.0,379,379,2025-10-10,軽減税率8%対象
NH039,明太子,肉のハナマサ,魚介類,たらこ,,,1.0,322,322,2025-10-03,軽減税率8%対象
NH040,冷凍バゲット（ロング）,肉のハナマサ,パン類,小麦,,,1.0,280,280,2025-10-20,軽減税率8%対象
NH041,小玉たまごミックス,肉のハナマサ,卵類,鶏卵,,,1.0,178,178,2025-10-20,軽減税率8%対象
NH041,小玉たまごミックス,肉のハナマサ,卵類,鶏卵,,,1.0,138,138,2025-10-15,軽減税率8%対象
NH041,小玉たまごミックス,肉のハナマサ,卵類,鶏卵,,,1.0,138,138,2025-10-14,軽減税率8%対象
NH042,三年陳年紹興酒,肉のハナマサ,酒類,紹興酒,600ml,0.62,1.0,370,370,2025-10-20,10%対象
NH042,三年陳年紹興酒,肉のハナマサ,酒類,紹興酒,600ml,0.62,1.0,370,370,2025-10-06,10%対象
NH042,三年陳年紹興酒,肉のハナマサ,酒類,紹興酒,600ml,0.62,1.0,370,370,2025-10-03,10%対象
NH042,三年陳年紹興酒,肉のハナマサ,酒類,紹興酒,600ml,0.62,1.0,370,370,2025-10-27,10%対象
NH042,三年陳年紹興酒,肉のハナマサ,酒類,紹興酒,600ml,0.62,1.0,370,370,2025-10-31,10%対象
NH043,長ねぎ,肉のハナマサ,野菜,ねぎ,,,1.0,498,498,2025-10-17,軽減税率8%対象
NH043,長ねぎ,肉のハナマサ,野菜,ねぎ,,,1.0,498,498,2025-10-08,軽減税率8%対象
NH043,長ねぎ,肉のハナマサ,野菜,ねぎ,,,1.0,480,480,2025-10-28,軽減税率8%対象
NH044,大葉（小）,肉のハナマサ,野菜,大葉,,,1.0,250,250,2025-10-17,軽減税率8%対象
NH044,大葉（小）,肉のハナマサ,野菜,大葉,,,1.0,300,300,2025-10-08,軽減税率8%対象
NH044,大葉（小）,肉のハナマサ,野菜,大葉,,,1.0,300,300,2025-10-27,軽減税率8%対象
NH045,ぶなしめじ,肉のハナマサ,野菜,ぶなしめじ,,,1.0,250,250,2025-10-17,軽減税率8%対象
NH045,ぶなしめじ,肉のハナマサ,野菜,しめじ,,,1.0,280,280,2025-10-29,軽減税率8%対象
NH046,ソディカ,肉のハナマサ,調味料,オリーブオイル,,,1.0,416,416,2025-10-17,軽減税率8%対象
NH047,生のり,肉のハナマサ,海産物,生のり,,,1.0,199,199,2025-10-17,軽減税率8%対象
NH047,生のり,肉のハナマサ,魚介類,のり,,,1.0,199,199,2025-10-27,軽減税率8%対象
NH047,生のり,肉のハナマサ,海藻類,のり,,,1.0,199,199,2025-10-02,軽減税率8%対象
NH048,たまごわかばち,肉のハナマサ,卵,鶏卵,,,1.0,198,198,2025-10-17,軽減税率8%対象
NH049,エキストラバージンオリーブオイル,肉のハナマサ,調味料,オリーブオイル,455g,1.71,1.0,780,780,2025-10-17,軽減税率8%対象
NH050,濃縮還元レモン果汁,肉のハナマサ,調味料,レモン果汁,,,1.0,358,358,2025-10-17,軽減税率8%対象
NH051,さしみ醤油,肉のハナマサ,調味料,醤油,,,1.0,248,248,2025-10-17,軽減税率8%対象
NH051,さしみ醤油,肉のハナマサ,調味料,しょうゆ,,,1.0,248,248,2025-10-08,軽減税率8%対象
NH051,さしみ醤油,肉のハナマサ,調味料,醤油,,,1.0,248,248,2025-10-27,軽減税率8%対象
NH052,ディール,肉のハナマサ,野菜,ハーブ,,,1.0,298,298,2025-10-15,軽減税率8%対象
NH053,小松菜,肉のハナマサ,野菜,小松菜,,,1.0,98,98,2025-10-15,軽減税率8%対象
NH053,小松菜,肉のハナマサ,野菜,小松菜,,,1.0,98,98,2025-10-01,軽減税率8%対象
NH053,小松菜,肉のハナマサ,野菜,小松菜,,,1.0,98,98,2025-10-28,軽減税率8%対象
NH054,甘口鰹酒盗（瓶）,肉のハナマサ,加工品,鰹,,,1.0,490,490,2025-10-15,軽減税率8%対象
NH055,たら子,肉のハナマサ,魚介類,たらこ,,,1.0,402,402,2025-10-15,軽減税率8%対象
NH056,いぶりがっこ,肉のハナマサ,加工品,大根,,,1.0,699,699,2025-10-15,軽減税率8%対象
NH056,いぶりがっこ,肉のハナマサ,加工品,大根,,,1.0,699,699,2025-10-21,軽減税率8%対象
NH056,いぶりがっこ,肉のハナマサ,加工品,大根,,,2.0,699,1398,2025-10-27,軽減税率8%対象
NH057,生中華麺（玉子麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-15,軽減税率8%対象
NH057,生中華麺（玉子麺）,肉のハナマサ,麺類,小麦,,,1.0,348,348,2025-10-30,軽減税率8%対象
NH058,ペチュキムチ（特）,肉のハナマサ,漬物,白菜,216g,1.52,1.0,328,328,2025-10-15,軽減税率8%対象
NH059,オリーブオイルと,肉のハナマサ,調味料,オリーブ,,,1.0,398,398,2025-10-15,軽減税率8%対象
NH060,本みりん,肉のハナマサ,調味料,みりん,1000ml,0.4,1.0,399,399,2025-10-15,10%対象
NH061,万能ねぎ,肉のハナマサ,野菜,ねぎ,,,1.0,250,250,2025-10-14,軽減税率8%対象
NH061,万能ねぎ,肉のハナマサ,野菜,ねぎ,,,1.0,250,250,2025-10-01,軽減税率8%対象
NH061,万能ねぎ,肉のハナマサ,野菜,ねぎ,,,1.0,250,250,2025-10-27,軽減税率8%対象
NH062,国産若鶏皮なしムネ肉,肉のハナマサ,肉類,鶏,,,1.0,581,581,2025-10-14,軽減税率8%対象
NH063,甘口鰹酒盗,肉のハナマサ,加工品,鰹,,,1.0,490,490,2025-10-14,軽減税率8%対象
NH064,プロ仕様いわしさば缶,肉のハナマサ,加工品,いわし・さば,,,1.0,499,499,2025-10-14,軽減税率8%対象
NH065,ペチュキムチ（特）,肉のハナマサ,漬物,白菜,216g,1.52,1.0,328,328,2025-10-14,軽減税率8%対象
NH066,花椒,肉のハナマサ,調味料,花椒,,,1.0,278,278,2025-10-14,軽減税率8%対象
NH067,八角,肉のハナマサ,調味料,八角,,,1.0,298,298,2025-10-14,軽減税率8%対象
NH067,八角,肉のハナマサ,調味料,香辛料,,,1.0,298,298,2025-10-28,軽減税率8%対象
NH068,玉ねぎ,肉のハナマサ,野菜,玉ねぎ,,,1.0,480,480,2025-10-08,軽減税率8%対象
NH068,玉ねぎ,肉のハナマサ,野菜,玉ねぎ,,,1.0,298,298,2025-10-01,軽減税率8%対象
NH068,玉ねぎ,肉のハナマサ,野菜,玉ねぎ,,,1.0,480,480,2025-10-29,軽減税率8%対象
NH069,こまつな,肉のハナマサ,野菜,小松菜,,,1.0,98,98,2025-10-08,軽減税率8%対象
NH070,若鶏モモ肉（解凍）,肉のハナマサ,肉類,鶏もも肉,995.6g,0.68,1.0,677,677,2025-10-08,軽減税率8%対象
NH070,若鶏モモ肉（解凍）,肉のハナマサ,肉類,鶏,926.5g,0.68,1.0,630,630,2025-10-27,軽減税率8%対象
NH071,ペチュキムチ特,肉のハナマサ,加工品,白菜,216g,1.52,1.0,328,328,2025-10-08,軽減税率8%対象
NH072,国産大豆ダブルパック,肉のハナマサ,加工品,納豆,,,1.0,109,109,2025-10-08,軽減税率8%対象
NH073,クラフトフィラデルフィア,肉のハナマサ,乳製品,クリームチーズ,,,1.0,498,498,2025-10-08,軽減税率8%対象
NH074,セレクト カイエンペッパー,肉のハナマサ,調味料,唐辛子,,,1.0,550,550,2025-10-08,軽減税率8%対象
